Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGUC 203 Zeta Gundam (Revive),23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.1
HGUC 200 Hyaku-Shiki (Revive),23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGBD:R 023 Uraven Gundam,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 072 RGM-79FP GM Striker,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
HG RX-78-2 Gundam (Beyond Global),25,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Mobile Suit Gundam,5.0
HGUC 234 MS-06S Zaku II (Revive),21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGIBO 023 Gundam Gusion Rebake Full City,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC 202 RGM-79[G] GM Ground Type,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.8
HGGTO 007 YMS-08B Dom Test Type,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGT Full Armor Gundam,33,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Thunderbolt,4.8
HGGTO 019 MS-06CK Zaku Half Cannon,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 071 MS-05L Zaku I Sniper Type,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGIBO 003 Schwalbe Graze (McGillis Custom),13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGBB 08 Gouf Crimson Custom,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.3
HGGBB 05 Gundam 00 Command QAN[T],25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.7
