Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
30MM OP-23 Option Armor for Commander [Rabiot Exclusive / Navy],6,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,5.0
30MM OP-21 Option Armor for Elite Officer [Cielnova Exclusive / Dark Green],6,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Scene Base 03 (Snow Field Ver.),5.99,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 05 (Slash Image Ver.) [Green],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-24 Option Armor for Spy Drone [Rabiot Exclusive / Purple],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-08 Option Armor for Special Squad [Portanova Exclusive / Light Blue],4,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 04 (Burst Image Ver.) [Gray],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-22 Option Armor for Defense Operations [Cielnova Exclusive / Sand Yellow],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-27 Option Armor for High Mobility [Cielnova Exclusive / Blue],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 06 (Slash Image Ver.) [Blue],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-30 Option Armor for Commander [Cielnova Exclusive / Blue Gray],6,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM 45 bEXM-29 Gardonova (Brown),18,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM W-20 Customized Weapons (Military Weapon),9,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 07 (Action Image Ver.) [Yellow],8,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-17 Option Armor for Special Operation [Rabiot Exclusive / Light Green],5.95,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 08 (Action Image Ver.) [Red],10,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM 47 eEXM-S02M Forestieri 02,14,Bandai,Model Kit,In stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Scene Base 01,9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-11 Option Backpack 1,5.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 33 EXM-A9s Spinatio (Sengoku Type),16,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,5.0
30MM OP-14 Option Backpack 2,5.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM W-09 Options Parts Set 3,9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,5.0
30MM W-11 Customize Weapons (Sengoku Army),8,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,3.0
30MM 13 eEXM-17 Alto [Black],13.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 38 EXM-E7f Spinatia (Fencer Type),16,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,4.0
30MM W-10 Option Parts Set 4 (Sengoku Armor),9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 20 bEXM-15 Portanova [Black],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-06 Option Armor for Close Fighting [Portanova Exclusive / Sand Yellow],3.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 11 eEXM-17 Alto [Green],16,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,5.0
30MM EV-04 Extended Armament Vehicle (Tank Ver.) [Brown],9.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 22 bEXM-15 Portanova (Marine Type) [Purple],21.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 31 bEXM-14T Cielnova [White],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM W-19 Option Parts Set 9 (Large Booster Unit),11,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM W-13 Customize Weapons (Witchcraft Weapon),8,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 14 bEXM-15 Portanova [Navy],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 21 eEXM-17 Alto [Gray],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 04 bEXM-15 Portanova [Green],16,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,5.0
30MM 06 bEXM-15 Portanova [Red],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 07 eEXM-17 Alto [Red],13.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 05 bEXM-15 Portanova [Dark Gray],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 12 bEXM-15 Portanova [White],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 10 bEXM-15 Portanova [Yellow],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM OP-02 Option Armor for Close Combat [Alto Exclusive / Orange],3.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM EV-09 Extended Armament Vehicle (Cannon Bike Ver.),9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM Customize Effect 02 (Gunfire Image Ver.) [Blue],5.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 03 eEXM-17 Alto [Blue],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM EV-03 Extended Armament Vehicle (Tank Ver.) [Olive Drab],9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 02 eEXM-17 Alto [Yellow],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 08 bEXM-17 Portanova [Blue],14.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 26 eEXM-17 Alto (Flight Type) [Orange],23,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM W-17 Option Parts Set 8 (Multi Backpack),11,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM EV-08 Extended Armament Vehicle (Space Craft Ver.) [Black],9.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM EV-06 Extended Armament Vehicle (Attack Submarine Ver.) [Blue Gray],9.95,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
DMG BOX - 30MM EV-11 Extended Armament Vehicle (Sub Machine Ver.),7.99,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
DMG Box - 30MM 41 Eexm-30 Espossito A,12.8,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
DMG BOX - 30MM 13 eEXM-17 Alto [Black],11.86,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM 35 bEXM-14T Cielnova [Black],17,Bandai,Model Kit,Out of stock,1/144,30 Minute Missions,None,None,No reviews
30MM EV-12 Extended Armament Vehicle (Armored Assault Mecha Ver.),14,Bandai,Model Kit,Coming Soon,1/144,30 Minute Missions,None,None,No reviews
Kojima Productions Ludens (Black Ver.),69.99,Kotobukiya,Model Kit,In stock,non,Death Stranding,None,None,5.0
Kojima Productions: Ludens,69.89,Kotobukiya,Model Kit,Out of stock,non,Death Stranding,None,None,No reviews
Death Stranding Reverse Trike,74.99,Kotobukiya,Model Kit,Out of stock,1/12,Death Stranding,None,None,No reviews
Frame Arms NSG-12α KOBOLD:RE2,34,Kotobukiya,Model Kit,In stock,1/100,Frame Arms,None,None,No reviews
Frame Arms NSG-Z0/K Durga II:RE2,53.98,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms Type 48 Model 2 Kagatsuchi-Otsu Sniper RE:2,56.99,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,2.0
Frame Arms Type 48 Model 2 Kagatsuchi-Otsu Fencer RE:2,54.99,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,2.0
Frame Arms FA-CNB Bergflinker,59.99,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms NSG-X2 HRESVELGR=ATER:RE2,45,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms NSG-25γ STRAUSS:RE2,34,Kotobukiya,Model Kit,In stock,1/100,Frame Arms,None,None,3.0
Frame Arms Shigen,54.95,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
FRAME ARMS RF-12/B SECOND JIVE:RE2,45.99,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms Kongo,79.98,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
FRAME ARMS WILBER NINE / SECOND JIVE ARMOR SET (Ver.F.M.E),34.99,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms Extend Arms 07 <Improved HAWK>,19.98,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms Type-Hector Joyuse,69.99,Kotobukiya,Model Kit,In stock,1/100,Frame Arms,None,None,No reviews
Frame Arms Extend Arms 04 for Stylet,23.97,Kotobukiya,Model Kit,In stock,non,Frame Arms,None,None,No reviews
Frame Arms RF-9 Revenant Eye:RE2,39.99,Kotobukiya,Model Kit,In stock,1/100,Frame Arms,None,None,No reviews
Frame Arms Revenant Eye Armor Parts (Ver.F.M.E.),25,Kotobukiya,Model Kit,In stock,1/100,Frame Arms,None,None,No reviews
Frame Arms NSG-Z0/G Magatsuki-Houten:RE2,58.98,Kotobukiya,Model Kit,Out of stock,non,Frame Arms,None,None,No reviews
Hexa Gear Governor Armor Type: Pawn A1 Ver. 1.5,21,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,4.0
Hexa Gear Weird Tails,64.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,5.0
Hexa Gear Early Governor Vol.2,27.98,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Alternative Humanoid Jester,17.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
MSG Heavy Weapon Unit 30 Active Mine,13.95,Kotobukiya,Model Kit,In stock,non,M.S.G.,Hexa Gear,None,No reviews
Hexa Gear Governor Lat Black Rabbit,24.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Rayblade Impulse,49.98,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Agnirage,119.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Aerial Fighter Woodpecker,39.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,1.0
Hexa Gear Altanative Cross Raider Forest Color Ver.,17.98,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Lord Impulse Jungle Type,79.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Governor Ignite Spartan,36,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Governor Armor Type: Pawn X1,25,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Alternative Track Down,19.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Early Governor Vol.1 Night Stalkers Pack,39.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Sieg Springer,45,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Governor Queen's Guard,36,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Definition Armor Blazeboar,51.99,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Governor Para-Pawn Judge Head,25,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Army Container Set Night Stalkers Ver.,17.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Abysscrawler Night Stalkers Ver.,59.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Voltrex,49.97,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Governor Bump Up Expander (Collector's Edition),59.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Voltrex Wrath,68,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Governor Bump Up Expander,36,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Alternative Cross Raider Night Stalkers Ver.,17.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Block Base 06 Slat Plate Option,11,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear L.O.Z. (Lord of Zoatex),81,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Booster Pack 003 Night Stalkers Ver.,37.99,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Early Governor Jungle Type Vol.1,26,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Motor Punisher,39.97,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Early Governor (Vol. 1),25,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Governor Weapons Gatling Blade,23,Kotobukiya,Model Kit,In stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Block Base 07 Fence Plate Option,12,Kotobukiya,Model Kit,In stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Governor Light Armor Type: Rose (Ver. 1.5),24.99,Kotobukiya,Model Kit,Out of stock,non,Hexa Gear,None,None,5.0
Hexa Gear Early Governor Vol.3,23.98,Kotobukiya,Model Kit,Out of stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Alternative Sneak Sight,14.99,Kotobukiya,Model Kit,Out of stock,1/24,Hexa Gear,None,None,No reviews
Hexa Gear Governor EX Armore Type: Monoceros,31.99,Kotobukiya,Model Kit,Out of stock,non,Hexa Gear,None,None,No reviews
Hexa Gear Early Governor Vol.6,25.99,Kotobukiya,Model Kit,Out of stock,non,Hexa Gear,None,None,3.0
Hexa Gear Lord Impulse,57.99,Kotobukiya,Model Kit,Out of stock,non,Hexa Gear,None,None,No reviews
Hexa Gear V-Thor,78,Kotobukiya,Model Kit,Out of stock,1/24,Hexa Gear,None,None,No reviews
Mega Man X Force Armor,69.99,Kotobukiya,Model Kit,In stock,non,Mega Man,None,None,No reviews
Mega Man X (Premium Charge Shot Ver.),66,Kotobukiya,Model Kit,In stock,1/12,Mega Man,None,None,No reviews
Mega Man X Mega Man X,59.99,Kotobukiya,Model Kit,In stock,non,Mega Man,None,None,5.0
Mega Man X Max Armor,68,Kotobukiya,Model Kit,In stock,non,Mega Man,None,None,No reviews
Mega Man X (Max Armor Hyperchip Ver.),74.98,Kotobukiya,Model Kit,In stock,non,Mega Man,None,None,No reviews
Mega Man X (Force Armor Rising Fire Ver.),79.98,Kotobukiya,Model Kit,In stock,non,Mega Man,None,None,No reviews
Mega Man X (Second Armor Ver.),69.99,Kotobukiya,Model Kit,In stock,1/12,Mega Man,None,None,No reviews
Megaman Zero,75,Eastern Model,Model Kit,Out of stock,non,Mega Man,None,None,No reviews
Mega Man X Zero,69.99,Kotobukiya,Model Kit,Out of stock,non,Mega Man,None,None,No reviews
Megaman Zero Copy-X,67.99,Eastern Model,Model Kit,Out of stock,non,Mega Man,None,None,No reviews
Mega Man X Zero (Nightmare Ver.),69.95,Kotobukiya,Model Kit,Out of stock,non,Mega Man,None,None,No reviews
1/12 Mandalorian (Beskar Armor),37,Bandai,Model Kit,In stock,1/12,Star Wars,None,None,5.0
016 Super Star Destroyer,13,Bandai,Model Kit,In stock,non,Star Wars,None,None,5.0
1/12 Darth Vader,29.99,Bandai,Model Kit,In stock,1/12,Star Wars,None,None,No reviews
1/12 Boba Fett,33,Bandai,Model Kit,In stock,1/12,Star Wars,None,None,4.0
1/72 X-Wing Star Fighter,29.99,Bandai,Model Kit,In stock,1/72,Star Wars,None,None,No reviews
1/48 AT-ST,29.99,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
013 Death Star II,9.99,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
Boba Fett's Starship,46,Bandai,Model Kit,In stock,1/144,Star Wars,None,None,No reviews
1/144 Millennium Falcon (Rise of Skywalker Ver.),66,Bandai,Model Kit,In stock,1/144,Star Wars,None,None,No reviews
1/72 & 1/144 Red Squadron X-Wing Starfighter Special Set,36.95,Bandai,Model Kit,In stock,1/72,Star Wars,None,None,No reviews
012 AT-M6,7.95,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
EX018 Razor Crest (Silver Coating Ver.),29.99,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
1/12 Stormtrooper,29.99,Bandai,Model Kit,In stock,1/12,Star Wars,None,None,No reviews
1/4 Grogu,32,Bandai,Model Kit,In stock,1/4,Star Wars,None,None,No reviews
014 Blockade Runner,13,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
1/12 Boba Fett (The Mandalorian),39,Bandai,Model Kit,In stock,1/12,Star Wars,None,None,No reviews
1/72 Resistance X-Wing Fighter,29.95,Bandai,Model Kit,In stock,1/72,Star Wars,None,None,No reviews
"1/2,700,000 Death Star II & 1/14,500 Star Destroyer",17.99,Bandai,Model Kit,In stock,non,Star Wars,None,None,No reviews
1/72 Poe's X-Wing Fighter,32.95,Bandai,Model Kit,In stock,1/72,Star Wars,None,None,No reviews
1/144 002 X-Wing Star Fighter,9.99,Bandai,Model Kit,In stock,1/144,Star Wars,None,None,No reviews
G1 Optimus Prime,39.93,Flame Toys,Model Kit,In stock,non,Transformers,None,None,5.0
Bumblebee Smart Kit,25,Trumpeter,Model Kit,In stock,non,Transformers,None,None,No reviews
Windblade,65,Flame Toys,Model Kit,In stock,non,Transformers,None,None,5.0
Blitzwing Smart Kit,29.99,Trumpeter,Model Kit,In stock,non,Transformers,None,None,5.0
Leo Prime,79.99,Flame Toys,Model Kit,In stock,non,Transformers,None,None,No reviews
Devastator,89.99,Flame Toys,Model Kit,In stock,non,Transformers,None,None,No reviews
Snake Eyes,45,Flame Toys,Model Kit,In stock,non,Transformers,None,None,No reviews
Optimus Prime (IDW Clear Ver.),59.95,Flame Toys,Model Kit,In stock,non,Transformers,None,None,No reviews
Acid Storm,45,Flame Toys,Model Kit,In stock,non,Transformers,None,None,4.0
Arcee Smart Kit,29.99,Trumpeter,Model Kit,In stock,non,Transformers,None,None,No reviews
Cliffjumper Smart Kit,28,Trumpeter,Model Kit,In stock,non,Transformers,None,None,No reviews
Rodimus (IDW Ver.),39.99,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,No reviews
Earth Mode Optimus Prime,199.99,Yolopark,Model Kit,Out of stock,Transformers,None,None,None,5.0
Shattered Glass Drift,49.95,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,No reviews
Ultra Magnus (IDW Ver.),39.95,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,No reviews
Megatron (IDW Decepticon Ver.),49.95,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,No reviews
Thundercracker,37.95,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,5.0
Bugbite NYCC Exclusive,49.99,Flame Toys,Model Kit,Out of stock,non,Transformers,None,None,No reviews
Ace Combat X-49,64,Kotobukiya,Model Kit,In stock,1/144,Ace Combat,None,None,No reviews
Ace Combat ADFX-01,43.98,Kotobukiya,Model Kit,Out of stock,1/144,Ace Combat,None,None,No reviews
Ace Combat ADFX-01 (Modeler's Edition),38.95,Kotobukiya,Model Kit,Out of stock,1/144,Ace Combat,None,None,No reviews
1/35 Batmobile (The Batman Ver.),49.99,Bandai,Model Kit,In stock,Batman,None,None,None,4.0
1/35 Batmobile (Batman Begins Ver.),47,Bandai,Model Kit,In stock,Batman,None,None,None,5.0
1/35 Batmobile (Batman Ver.),47,Bandai,Model Kit,In stock,Batman,None,None,None,No reviews
2/5 Segasaturn (HST-3200),28.95,Bandai,Model Kit,In stock,2/5,Best Hit Chronicle,None,None,No reviews
1/1 Cup Noodle,25.95,Bandai,Model Kit,Out of stock,1/1,Best Hit Chronicle,None,None,5.0
2/5 PlayStation (SCPH-1000),29.99,Bandai,Model Kit,Out of stock,2/5,Best Hit Chronicle,None,None,No reviews
Border Break Kisei Hashiki,119.99,Kotobukiya,Model Kit,In stock,non,Border Break,None,None,No reviews
Storm Shadow,45,Flame Toys,Model Kit,In stock,non,G.I. Joe,None,None,No reviews
Arashikage Cycle (for Storm Shadow),45,Flame Toys,Model Kit,In stock,non,G.I. Joe,None,None,No reviews
Petit Rits 06 Saber/Okita Souji,16.95,Bandai,Model Kit,In stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 02 Caster/Nero Claudius,16.45,Bandai,Model Kit,In stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 07 Archer/Gilgamesh,16.95,Bandai,Model Kit,In stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 04 Master/Female Protagonist,16.95,Bandai,Model Kit,In stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 05 Saber/Miyamoto Musashi,16.95,Bandai,Model Kit,Out of stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 01 Shielder/Mash Kyrielight,16.95,Bandai,Model Kit,Out of stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 03 Avenger/Jeanne d'Arc (Alter),16.45,Bandai,Model Kit,Out of stock,non,Fate/Grand Order,None,None,No reviews
Petit Rits 08 Saber/Altria Pendragon,16.95,Bandai,Model Kit,Out of stock,non,Fate/Grand Order,None,None,No reviews
Legend of Valkyrie Walkure,44.97,Kotobukiya,Model Kit,In stock,non,Legend of Valkyrie,None,None,3.0
1/9 Iron Rescue Mark 49,85.99,Eastern Model,Model Kit,In stock,1/9,Marvel,Avengers,None,No reviews
1/9 Iron Man Mark 50,99.99,Eastern Model,Model Kit,In stock,1/9,Marvel,Avengers,None,No reviews
1/9 Iron Man Mark 3 (Deluxe Edition),135,Eastern Model,Model Kit,In stock,1/9,Marvel,None,None,3.0
1/9 Iron Man Mark 46,98.99,Eastern Model,Model Kit,In stock,1/9,Marvel,Avengers,None,No reviews
Iron Spider Fighting Armor,95,Sentinel,Model Kit,In stock,non,Marvel,None,None,No reviews
1/9 Iron Man Mark 2 (Deluxe Edition),119,Eastern Model,Model Kit,In stock,1/9,Marvel,None,None,No reviews
1/9 Iron Man Mark 85,95.99,Eastern Model,Model Kit,Out of stock,1/9,Marvel,Avengers,None,No reviews
1/9 Iron Man Mark 46 (Deluxe Edition),179,Morstorm,Model Kit,Out of stock,1/9,Marvel,None,None,No reviews
Medabots Seikachisu,44,Kotobukiya,Model Kit,In stock,1/8,Medabots,None,None,No reviews
Gene (Stella Tears Ver.),59.99,Kotobukiya,Model Kit,In stock,non,Phantasy Star Online,None,None,No reviews
Phantasy Star Online 2 A.I.S. Vega,79,Kotobukiya,Model Kit,In stock,1/72,Phantasy Star Online,None,None,No reviews
Phantasy Star Online 2 A.I.S. Vega Unit,29,Kotobukiya,Model Kit,In stock,1/72,Phantasy Star Online,None,None,No reviews
Wonder Woman (Humikane Shimada Ver.),59.95,Kotobukiya,Model Kit,In stock,non,Cross Frame Girl,Wonder Woman,None,4.0
1/48 McDonnell Douglas F-4B Phantom II,94,Tamiya,Model Kit,Out of stock,1/48,None,None,None,No reviews
1/24 McLaren Senna Hypercar,73,Tamiya,Model Kit,In stock,1/24,None,None,None,No reviews
1/24 Lotus Europa Special Sports Car,49,Tamiya,Model Kit,In stock,1/24,None,None,None,No reviews
1/25 1967 Plymouth GTX,25,Revell,Model Kit,In stock,1/25,None,None,None,No reviews
1/24 Volkswagen Type 2 Minibus (1963) Full Interior,88,Hasegawa,Model Kit,Out of stock,1/24,None,None,None,No reviews
1/12 Porsche 935 Martini Race Car,205,Tamiya,Model Kit,Out of stock,1/12,None,None,None,No reviews
Crossbone Gundam X-1 Full Cloth 2.0 GK,131,AEther,Model Kit,In stock,1/100,Mobile Suit Gundam,None,None,No reviews
Gunner Zaku Warrior Lunamaria GK,126,AEther,Model Kit,Out of stock,1/100,Mobile Suit Gundam,Gundam Seed Destiny,None,5.0
Barbatos Ver.Dynasty Warrior GK,155,AEther,Model Kit,Out of stock,1/100,Mobile Suit Gundam,Iron-Blooded Orphans,None,No reviews
MG Jesta Cannon GK,150,AEther,Model Kit,Out of stock,1/100,Mobile Suit Gundam,Gundam Unicorn,None,5.0
1/35 Nu/Hi-Nu Gundam Head Bust,79,AOK SilverOaks,Model Kit,In stock,1/35,Mobile Suit Gundam,Char's Counterattack,None,3.0
1/35 Sazabi/Sinanju Head Bust,79,AOK SilverOaks,Model Kit,In stock,1/35,Mobile Suit Gundam,Char's Counterattack,None,1.0
Zaku FZ GK,120,AOK SilverOaks,Model Kit,In stock,1/100,Mobile Suit Gundam,Gundam 0080: War in the Pocket,None,No reviews
1/35 Unicorn Banshee Phenex Head Bust Deluxe Bundle,235,AOK SilverOaks,Model Kit,In stock,1/35,Mobile Suit Gundam,Gundam Unicorn,None,5.0
Hi-Nu w/ Hyper Mega Bazooka Launcher GK,300,AOK SilverOaks,Model Kit,Out of stock,1/100,Mobile Suit Gundam,Char's Counterattack,None,4.0
Gelgoog GK,130,AOK SilverOaks,Model Kit,Out of stock,Mobile Suit Gundam,None,None,None,No reviews
1/35 Unicorn Gundam 01 Head Bust,79,AOK SilverOaks,Model Kit,Out of stock,1/35,Mobile Suit Gundam,Gundam Unicorn,None,No reviews
1/35 Unicorn Gundam 02 Banshee Head Bust,79,AOK SilverOaks,Model Kit,Out of stock,1/35,Mobile Suit Gundam,Gundam Unicorn,None,No reviews
1/35 Unicorn Gundam 03 Phenex Head Bust,79,AOK SilverOaks,Model Kit,Out of stock,1/35,Mobile Suit Gundam,Gundam Narrative,None,No reviews
Hyper Mega Bazooka Launcher (Game Ver.) GK,80,AOK SilverOaks,Model Kit,Out of stock,1/100,Mobile Suit Gundam,Char's Counterattack,None,No reviews
Dynames GK,135,Fortune Meow,Model Kit,In stock,1/100,Mobile Suit Gundam,Gundam 00,None,5.0
RX-93-v2 Hi-Nu Gundam Ver.Ka GK,135,Fortune Meow,Model Kit,In stock,1/100,Mobile Suit Gundam,Char's Counterattack,None,5.0
Justice GK,109,Fortune Meow,Model Kit,In stock,1/100,Mobile Suit Gundam,Gundam Seed,None,5.0
